Country,Month,Day,Year,Hour,AvgTemperature,Precipitation,Status
Philippines,2,11,2009,1200,29°C,0.0 mm,Clear
Philippines,2,11,2009,1500,28°C,0.0 mm,Clear
Philippines,2,11,2009,1800,25°C,0.0 mm,Clear
Philippines,2,12,2009,600,24°C,0.0 mm,Clear
Philippines,2,12,2009,900,27°C,0.0 mm,Clear
Philippines,2,12,2009,1200,30°C,0.0 mm,Clear
Philippines,2,12,2009,1500,29°C,0.2 mm,Patchy rain possible
Philippines,2,12,2009,1800,25°C,0.0 mm,Clear
Philippines,2,13,2009,600,24°C,0.0 mm,Clear
Philippines,2,13,2009,900,27°C,0.0 mm,Clear
Philippines,2,13,2009,1200,30°C,0.0 mm,Clear
Philippines,2,13,2009,1500,29°C,0.0 mm,Clear
Philippines,2,13,2009,1800,26°C,0.0 mm,Clear
Philippines,2,14,2009,600,25°C,0.0 mm,Partly cloudy
Philippines,2,14,2009,900,26°C,0.0 mm,Cloudy
Philippines,2,14,2009,1200,26°C,0.3 mm,Patchy rain possible
Philippines,2,14,2009,1500,25°C,0.7 mm,Patchy rain possible
Philippines,2,14,2009,1800,24°C,0.1 mm,Patchy rain possible
Philippines,2,15,2009,600,24°C,0.4 mm,Patchy rain possible
Philippines,2,15,2009,900,25°C,0.0 mm,Overcast
Philippines,2,15,2009,1200,28°C,1.3 mm,Heavy rain at times
Philippines,2,15,2009,1500,26°C,1.1 mm,Heavy rain at times
Philippines,2,15,2009,1800,25°C,1.3 mm,Heavy rain at times
Philippines,2,16,2009,600,26°C,0.0 mm,Partly cloudy
Philippines,2,16,2009,900,27°C,0.0 mm,Partly cloudy
Philippines,2,16,2009,1200,29°C,0.1 mm,Patchy rain possible
Philippines,2,16,2009,1500,28°C,1.3 mm,Heavy rain at times
Philippines,2,16,2009,1800,25°C,0.0 mm,Partly cloudy
Philippines,2,17,2009,600,25°C,0.0 mm,Clear
Philippines,2,17,2009,900,28°C,0.0 mm,Clear
Philippines,2,17,2009,1200,30°C,0.0 mm,Partly cloudy
Philippines,2,17,2009,1500,29°C,0.2 mm,Patchy rain possible
Philippines,2,17,2009,1800,25°C,0.0 mm,Clear
Philippines,2,18,2009,600,26°C,0.0 mm,Partly cloudy
Philippines,2,18,2009,900,28°C,0.0 mm,Partly cloudy
Philippines,2,18,2009,1200,29°C,0.0 mm,Partly cloudy
Philippines,2,18,2009,1500,29°C,0.9 mm,Moderate rain at times
Philippines,2,18,2009,1800,26°C,0.0 mm,Partly cloudy
Philippines,2,19,2009,600,26°C,0.0 mm,Clear
Philippines,2,19,2009,900,28°C,0.0 mm,Partly cloudy
Philippines,2,19,2009,1200,29°C,0.2 mm,Patchy rain possible
Philippines,2,19,2009,1500,28°C,0.1 mm,Patchy rain possible
Philippines,2,19,2009,1800,25°C,0.0 mm,Partly cloudy
Philippines,2,20,2009,600,27°C,0.0 mm,Clear
Philippines,2,20,2009,900,29°C,0.0 mm,Clear
Philippines,2,20,2009,1200,31°C,0.0 mm,Clear
Philippines,2,20,2009,1500,30°C,0.0 mm,Clear
Philippines,2,20,2009,1800,27°C,0.0 mm,Clear
Philippines,2,21,2009,600,25°C,0.0 mm,Clear
Philippines,2,21,2009,900,28°C,0.0 mm,Clear
Philippines,2,21,2009,1200,31°C,0.0 mm,Clear
Philippines,2,21,2009,1500,28°C,0.0 mm,Partly cloudy
Philippines,2,21,2009,1800,25°C,0.0 mm,Clear
Philippines,2,22,2009,600,26°C,0.0 mm,Clear
Philippines,2,22,2009,900,28°C,0.0 mm,Clear
Philippines,2,22,2009,1200,31°C,0.0 mm,Clear
Philippines,2,22,2009,1500,29°C,0.0 mm,Clear
Philippines,2,22,2009,1800,25°C,0.0 mm,Clear
Philippines,2,23,2009,600,26°C,0.0 mm,Partly cloudy
Philippines,2,23,2009,900,28°C,0.0 mm,Partly cloudy
Philippines,2,23,2009,1200,29°C,0.0 mm,Clear
Philippines,2,23,2009,1500,29°C,0.0 mm,Clear
Philippines,2,23,2009,1800,26°C,0.0 mm,Clear
Philippines,2,24,2009,600,26°C,0.0 mm,Clear
Philippines,2,24,2009,900,28°C,0.0 mm,Clear
Philippines,2,24,2009,1200,31°C,0.0 mm,Clear
Philippines,2,24,2009,1500,28°C,0.0 mm,Clear
Philippines,2,24,2009,1800,26°C,0.0 mm,Clear
Philippines,2,25,2009,600,26°C,0.0 mm,Partly cloudy
Philippines,2,25,2009,900,29°C,0.0 mm,Partly cloudy
Philippines,2,25,2009,1200,30°C,0.0 mm,Clear
Philippines,2,25,2009,1500,28°C,0.0 mm,Partly cloudy
Philippines,2,25,2009,1800,25°C,0.0 mm,Partly cloudy
Philippines,2,26,2009,600,27°C,0.0 mm,Partly cloudy
Philippines,2,26,2009,900,28°C,0.0 mm,Partly cloudy
Philippines,2,26,2009,1200,30°C,0.0 mm,Clear
Philippines,2,26,2009,1500,28°C,0.0 mm,Clear
Philippines,2,26,2009,1800,25°C,0.0 mm,Clear
Philippines,2,27,2009,600,25°C,0.0 mm,Clear
Philippines,2,27,2009,900,29°C,0.0 mm,Clear
Philippines,2,27,2009,1200,32°C,0.0 mm,Clear
Philippines,2,27,2009,1500,30°C,0.0 mm,Clear
Philippines,2,27,2009,1800,27°C,0.0 mm,Clear
Philippines,2,28,2009,600,25°C,0.0 mm,Partly cloudy
Philippines,2,28,2009,900,28°C,0.0 mm,Clear
Philippines,2,28,2009,1200,30°C,0.0 mm,Clear
Philippines,2,28,2009,1500,29°C,0.0 mm,Clear
Philippines,2,28,2009,1800,26°C,0.0 mm,Clear
Philippines,3,1,2009,600,26°C,0.0 mm,Partly cloudy
Philippines,3,1,2009,900,28°C,0.0 mm,Partly cloudy
Philippines,3,1,2009,1200,30°C,0.0 mm,Partly cloudy
Philippines,3,1,2009,1500,28°C,0.0 mm,Clear
Philippines,3,1,2009,1800,25°C,0.0 mm,Cloudy
Philippines,3,2,2009,600,25°C,0.0 mm,Cloudy
Philippines,3,2,2009,900,25°C,0.0 mm,Cloudy
Philippines,3,2,2009,1200,27°C,0.2 mm,Patchy rain possible
Philippines,3,2,2009,1500,27°C,0.2 mm,Patchy rain possible
Philippines,3,2,2009,1800,25°C,0.0 mm,Partly cloudy
Philippines,3,3,2009,600,25°C,0.0 mm,Partly cloudy
Philippines,3,3,2009,900,28°C,0.1 mm,Patchy rain possible
Philippines,3,3,2009,1200,30°C,0.0 mm,Partly cloudy
Philippines,3,3,2009,1500,29°C,0.0 mm,Partly cloudy
Philippines,3,3,2009,1800,26°C,0.0 mm,Partly cloudy
Philippines,3,4,2009,600,26°C,0.0 mm,Clear
Philippines,3,4,2009,900,29°C,0.0 mm,Clear
Philippines,3,4,2009,1200,31°C,0.0 mm,Clear
Philippines,3,4,2009,1500,30°C,0.0 mm,Clear
Philippines,3,4,2009,1800,26°C,0.0 mm,Clear
Philippines,3,5,2009,600,26°C,0.0 mm,Clear
Philippines,3,5,2009,900,29°C,0.0 mm,Clear
Philippines,3,5,2009,1200,31°C,0.0 mm,Clear
Philippines,3,5,2009,1500,30°C,0.0 mm,Clear
Philippines,3,5,2009,1800,26°C,0.0 mm,Clear
Philippines,3,6,2009,600,26°C,0.0 mm,Clear
Philippines,3,6,2009,900,30°C,0.0 mm,Clear
Philippines,3,6,2009,1200,32°C,0.0 mm,Clear
Philippines,3,6,2009,1500,31°C,0.0 mm,Clear
Philippines,3,6,2009,1800,27°C,0.0 mm,Clear
Philippines,3,7,2009,600,26°C,0.0 mm,Clear
Philippines,3,7,2009,900,30°C,0.0 mm,Clear
Philippines,3,7,2009,1200,32°C,0.0 mm,Clear
Philippines,3,7,2009,1500,31°C,0.0 mm,Clear
Philippines,3,7,2009,1800,27°C,0.0 mm,Clear
Philippines,3,8,2009,600,25°C,0.0 mm,Clear
Philippines,3,8,2009,900,29°C,0.0 mm,Clear
Philippines,3,8,2009,1200,31°C,0.0 mm,Clear
Philippines,3,8,2009,1500,30°C,0.4 mm,Patchy rain possible
Philippines,3,8,2009,1800,27°C,0.0 mm,Clear
Philippines,3,9,2009,600,26°C,0.0 mm,Clear
Philippines,3,9,2009,900,29°C,0.0 mm,Clear
Philippines,3,9,2009,1200,33°C,0.0 mm,Partly cloudy
Philippines,3,9,2009,1500,31°C,0.0 mm,Clear
Philippines,3,9,2009,1800,28°C,0.0 mm,Clear
Philippines,3,10,2009,600,26°C,0.0 mm,Clear
Philippines,3,10,2009,900,30°C,0.0 mm,Clear
Philippines,3,10,2009,1200,32°C,0.0 mm,Clear
Philippines,3,10,2009,1500,31°C,0.0 mm,Clear
Philippines,3,10,2009,1800,27°C,0.0 mm,Clear
Philippines,3,11,2009,600,26°C,0.0 mm,Clear
Philippines,3,11,2009,900,30°C,0.0 mm,Clear
Philippines,3,11,2009,1200,32°C,0.0 mm,Clear
Philippines,3,11,2009,1500,31°C,0.0 mm,Clear
Philippines,3,11,2009,1800,28°C,0.0 mm,Clear
Philippines,3,12,2009,600,26°C,0.0 mm,Clear
Philippines,3,12,2009,900,30°C,0.0 mm,Clear
Philippines,3,12,2009,1200,32°C,0.0 mm,Clear
Philippines,3,12,2009,1500,31°C,0.0 mm,Clear
Philippines,3,12,2009,1800,28°C,0.0 mm,Clear
Philippines,3,13,2009,600,26°C,0.0 mm,Clear
Philippines,3,13,2009,900,29°C,0.0 mm,Clear
Philippines,3,13,2009,1200,32°C,0.0 mm,Clear
Philippines,3,13,2009,1500,31°C,0.0 mm,Clear
Philippines,3,13,2009,1800,28°C,0.0 mm,Clear
Philippines,3,14,2009,600,26°C,0.0 mm,Clear
Philippines,3,14,2009,900,29°C,0.0 mm,Partly cloudy
Philippines,3,14,2009,1200,32°C,0.0 mm,Clear
Philippines,3,14,2009,1500,31°C,0.2 mm,Patchy rain possible
Philippines,3,14,2009,1800,27°C,0.0 mm,Clear
Philippines,3,15,2009,600,26°C,0.0 mm,Partly cloudy
Philippines,3,15,2009,900,28°C,0.0 mm,Partly cloudy
Philippines,3,15,2009,1200,29°C,0.0 mm,Clear
Philippines,3,15,2009,1500,29°C,0.0 mm,Partly cloudy
Philippines,3,15,2009,1800,26°C,0.0 mm,Partly cloudy
Philippines,3,16,2009,600,26°C,0.0 mm,Partly cloudy
Philippines,3,16,2009,900,29°C,0.0 mm,Partly cloudy
Philippines,3,16,2009,1200,32°C,0.0 mm,Partly cloudy
Philippines,3,16,2009,1500,29°C,0.0 mm,Clear
Philippines,3,16,2009,1800,26°C,0.0 mm,Partly cloudy
Philippines,3,17,2009,600,26°C,0.0 mm,Partly cloudy
Philippines,3,17,2009,900,28°C,0.0 mm,Partly cloudy
Philippines,3,17,2009,1200,27°C,1.8 mm,Moderate or heavy rain shower
Philippines,3,17,2009,1500,26°C,0.3 mm,Patchy rain possible
Philippines,3,17,2009,1800,25°C,0.3 mm,Patchy rain possible
Philippines,3,18,2009,600,26°C,0.0 mm,Clear
Philippines,3,18,2009,900,29°C,0.0 mm,Clear
Philippines,3,18,2009,1200,33°C,0.0 mm,Clear
Philippines,3,18,2009,1500,31°C,0.0 mm,Clear
Philippines,3,18,2009,1800,27°C,0.0 mm,Clear
Philippines,3,19,2009,600,26°C,0.0 mm,Clear
Philippines,3,19,2009,900,30°C,0.0 mm,Clear
Philippines,3,19,2009,1200,32°C,0.0 mm,Clear
Philippines,3,19,2009,1500,31°C,0.0 mm,Clear
Philippines,3,19,2009,1800,27°C,0.0 mm,Clear
Philippines,3,20,2009,600,26°C,0.0 mm,Clear
Philippines,3,20,2009,900,30°C,0.0 mm,Clear
Philippines,3,20,2009,1200,32°C,0.0 mm,Partly cloudy
Philippines,3,20,2009,1500,31°C,0.0 mm,Partly cloudy
Philippines,3,20,2009,1800,28°C,0.0 mm,Clear
Philippines,3,21,2009,600,26°C,0.0 mm,Clear
Philippines,3,21,2009,900,30°C,0.0 mm,Partly cloudy
Philippines,3,21,2009,1200,31°C,0.0 mm,Partly cloudy
Philippines,3,21,2009,1500,31°C,0.0 mm,Partly cloudy
Philippines,3,21,2009,1800,27°C,0.0 mm,Clear
Philippines,3,22,2009,600,26°C,0.0 mm,Clear
Philippines,3,22,2009,900,31°C,0.0 mm,Clear
Philippines,3,22,2009,1200,32°C,0.0 mm,Clear
Philippines,3,22,2009,1500,31°C,0.0 mm,Partly cloudy
Philippines,3,22,2009,1800,28°C,0.0 mm,Partly cloudy
Philippines,3,23,2009,600,27°C,0.0 mm,Clear
Philippines,3,23,2009,900,31°C,0.0 mm,Partly cloudy
Philippines,3,23,2009,1200,31°C,0.0 mm,Partly cloudy
Philippines,3,23,2009,1500,29°C,0.0 mm,Partly cloudy
Philippines,3,23,2009,1800,27°C,0.0 mm,Clear
Philippines,3,24,2009,600,26°C,0.0 mm,Clear
Philippines,3,24,2009,900,31°C,0.0 mm,Clear
Philippines,3,24,2009,1200,32°C,0.0 mm,Partly cloudy
Philippines,3,24,2009,1500,30°C,0.0 mm,Partly cloudy
Philippines,3,24,2009,1800,27°C,0.0 mm,Partly cloudy
Philippines,3,25,2009,600,27°C,0.0 mm,Clear
Philippines,3,25,2009,900,30°C,0.0 mm,Partly cloudy
Philippines,3,25,2009,1200,31°C,0.0 mm,Partly cloudy
Philippines,3,25,2009,1500,29°C,1.0 mm,Heavy rain at times
Philippines,3,25,2009,1800,25°C,0.5 mm,Moderate rain at times
Philippines,3,26,2009,600,26°C,0.0 mm,Partly cloudy
Philippines,3,26,2009,900,29°C,0.0 mm,Partly cloudy
Philippines,3,26,2009,1200,31°C,0.0 mm,Clear
Philippines,3,26,2009,1500,29°C,0.0 mm,Partly cloudy
Philippines,3,26,2009,1800,27°C,0.0 mm,Partly cloudy
Philippines,3,27,2009,600,26°C,0.0 mm,Clear
Philippines,3,27,2009,900,29°C,0.0 mm,Clear
Philippines,3,27,2009,1200,30°C,0.0 mm,Clear
Philippines,3,27,2009,1500,29°C,1.5 mm,Moderate or heavy rain shower
Philippines,3,27,2009,1800,27°C,0.0 mm,Partly cloudy
Philippines,3,28,2009,600,26°C,0.2 mm,Patchy rain possible
Philippines,3,28,2009,900,28°C,0.0 mm,Partly cloudy
Philippines,3,28,2009,1200,30°C,0.0 mm,Clear
Philippines,3,28,2009,1500,29°C,0.0 mm,Clear
Philippines,3,28,2009,1800,27°C,0.5 mm,Moderate rain at times
Philippines,3,29,2009,600,26°C,0.0 mm,Clear
Philippines,3,29,2009,900,30°C,0.0 mm,Partly cloudy
Philippines,3,29,2009,1200,31°C,0.0 mm,Partly cloudy
Philippines,3,29,2009,1500,30°C,0.0 mm,Clear
